Name	FDR	Fold Enrichment	gene
regulation of gene expression	7.58E-57	1.84	544
embryo development ending in seed dormancy	2.41E-30	1.81	316
positive regulation of macromolecule metabolic process	2.80E-29	2.67	115
DNA repair	2.27E-22	2.25	131
peptidyl-lysine modification	3.53E-22	2.14	146
mRNA processing	1.09E-17	2.08	127
RNA splicing	7.97E-17	2.39	87
protein modification process	9.55E-16	1.69	214
negative regulation of metabolic process	2.40E-15	1.93	135
vegetative to reproductive phase transition of meristem	7.81E-14	1.85	141
