run_accession	study_accession	sample_alias	sample_title
ERR15005408	PRJEB39079	4073_M	Cvi-0
ERR4341249	PRJEB39079	12766	S_Espong
ERR4341252	PRJEB39079	12849	S_Espong
ERR4341237	PRJEB39079	12911	S_Espong
ERR4341241	PRJEB39079	12912	S_Espong
ERR4341245	PRJEB39079	12914	S_Espong
ERR4341239	PRJEB39079	13172	S_Espong
ERR4341244	PRJEB39079	13173	S_Espong
ERR4341238	PRJEB39079	13175	S_Espong
ERR4341257	PRJEB39079	13177	S_Espong
ERR4341258	PRJEB39079	13178	S_Espong
ERR4341242	PRJEB39079	13179	S_Espong
ERR4341240	PRJEB39079	13183	S_Espong
ERR4341268	PRJEB39079	13578	S_Espong
ERR4341246	PRJEB39079	13580	S_Espong
ERR4341248	PRJEB39079	13581	S_Espong
ERR4341141	PRJEB39079	13582	S_Fig
ERR4340962	PRJEB39079	13583	S_Fig
ERR4341263	PRJEB39079	15668	S_Espong
ERR4341273	PRJEB39079	15669	S_Espong
ERR4341374	PRJEB39079	15670	S_Pico
ERR4339444	PRJEB39079	15671	S_Pico
ERR4339447	PRJEB39079	15672	S_Pico
ERR4339442	PRJEB39079	15673	S_Pico
ERR4339455	PRJEB39079	15674	S_Espong
ERR4340958	PRJEB39079	15675	S_Espong
ERR4341264	PRJEB39079	16150	S_Espong
ERR4340950	PRJEB39079	16151	S_Espong
ERR4341371	PRJEB39079	16292	S_Fig
ERR4339458	PRJEB39079	16293	S_Espong
ERR4341146	PRJEB39079	20681	S_Espong
ERR4341143	PRJEB39079	20682	S_Espong
ERR4341185	PRJEB39079	20683	S_Espong
ERR4341165	PRJEB39079	20684	S_Espong
ERR4341164	PRJEB39079	20685	S_Espong
ERR4341167	PRJEB39079	20686	S_Espong
ERR4341179	PRJEB39079	20687	S_Espong
ERR4341144	PRJEB39079	22013	S_Espong
ERR4341147	PRJEB39079	22609	S_Espong
ERR4339449	PRJEB39079	22615	S_Fig
ERR4340966	PRJEB39079	22616	S_Espong
ERR4341266	PRJEB39079	22617	S_Espong
ERR4341255	PRJEB39079	22618	S_Espong
ERR4339441	PRJEB39079	22619	S_Pico
ERR4339452	PRJEB39079	22620	S_Espong
ERR4341145	PRJEB39079	22622	S_Espong
ERR4339453	PRJEB39079	22623	S_Espong
ERR4341251	PRJEB39079	22624	S_Espong
ERR4341387	PRJEB39079	22626	S_Fig
ERR4341174	PRJEB39079	22627	S_Espong
ERR4339439	PRJEB39079	22628	S_Pico
ERR4341259	PRJEB39079	22629	S_Espong
ERR4341176	PRJEB39079	22630	S_Espong
ERR4340965	PRJEB39079	22631	S_Espong
ERR4341253	PRJEB39079	22632	S_Espong
ERR4341181	PRJEB39079	22633	S_Espong
ERR4341148	PRJEB39079	22634	S_Espong
ERR4341149	PRJEB39079	22636	S_Espong
ERR4339440	PRJEB39079	22637	S_Pico
ERR4341177	PRJEB39079	22639	S_Espong
ERR4341142	PRJEB39079	22641	S_Espong
ERR4339450	PRJEB39079	22642	S_Espong
ERR4341180	PRJEB39079	22643	S_Espong
ERR4339443	PRJEB39079	27158	S_Pico
ERR4340952	PRJEB39079	27160	S_Espong
ERR4340954	PRJEB39079	27161	S_Espong
ERR4340957	PRJEB39079	27162	S_Espong
ERR4341191	PRJEB39079	27163	S_Espong
ERR4341260	PRJEB39079	27165	S_Espong
ERR4339459	PRJEB39079	27169	S_Espong
ERR4340951	PRJEB39079	27170	S_Espong
ERR4341270	PRJEB39079	27172	S_Espong
ERR4339460	PRJEB39079	27174	S_Espong
ERR4340955	PRJEB39079	27175	S_Espong
ERR4341250	PRJEB39079	27177	S_Espong
ERR4341363	PRJEB39079	27179	S_Espong
ERR4340959	PRJEB39079	27180	S_Espong
ERR4339465	PRJEB39079	27181	S_Espong
ERR4340949	PRJEB39079	27182	S_Espong
ERR4340956	PRJEB39079	35516	S_Espong
ERR4339456	PRJEB39079	35517	S_Espong
ERR4341267	PRJEB39079	35518	S_Espong
ERR4341265	PRJEB39079	35519	S_Espong
ERR4341160	PRJEB39079	2876_A	S_Espong
ERR4341178	PRJEB39079	2876_AA	S_Espong
ERR4341155	PRJEB39079	2876_AB	S_Espong
ERR4341367	PRJEB39079	2876_AC	S_Fig
ERR4341271	PRJEB39079	2876_AD	S_Espong
ERR4341261	PRJEB39079	2876_AE	S_Espong
ERR4341360	PRJEB39079	2876_AF	S_Espong
ERR4341243	PRJEB39079	2876_AK	S_Espong
ERR4339461	PRJEB39079	2876_AL	S_Fig
ERR4339438	PRJEB39079	2876_AM	S_Pico
ERR4339451	PRJEB39079	2876_AN	S_Espong
ERR4339454	PRJEB39079	2876_AO	S_Espong
ERR4339457	PRJEB39079	2876_AP	S_Espong
ERR4341163	PRJEB39079	2876_AR	S_Espong
ERR4341162	PRJEB39079	2876_AS	S_Espong
ERR4341236	PRJEB39079	2876_AT	S_Espong
ERR4341254	PRJEB39079	2876_AU	S_Espong
ERR4341256	PRJEB39079	2876_AV	S_Espong
ERR4341359	PRJEB39079	2876_AW	S_Espong
ERR4341173	PRJEB39079	2876_B	S_Espong
ERR4341151	PRJEB39079	2876_C	S_Espong
ERR4340953	PRJEB39079	2876_D	S_Espong
ERR4341156	PRJEB39079	2876_E	S_Espong
ERR4341157	PRJEB39079	2876_F	S_Espong
ERR4341161	PRJEB39079	2876_G	S_Espong
ERR4341171	PRJEB39079	2876_H	S_Espong
ERR4341172	PRJEB39079	2876_I	S_Espong
ERR4341175	PRJEB39079	2876_J	S_Espong
ERR4341166	PRJEB39079	2876_K	S_Espong
ERR4341169	PRJEB39079	2876_L	S_Espong
ERR4341153	PRJEB39079	2876_M	S_Espong
ERR4341152	PRJEB39079	2876_N	S_Espong
ERR4341150	PRJEB39079	2876_O	S_Espong
ERR4341170	PRJEB39079	2876_P	S_Espong
ERR4341168	PRJEB39079	2876_Q	S_Espong
ERR4341154	PRJEB39079	2876_R	S_Espong
ERR4341159	PRJEB39079	2876_S	S_Espong
ERR4341272	PRJEB39079	2876_T	S_Espong
ERR4341183	PRJEB39079	2876_U	S_Espong
ERR4341274	PRJEB39079	2876_V	S_Espong
ERR4340960	PRJEB39079	2876_W	S_Espong
ERR4341158	PRJEB39079	2876_X	S_Espong
ERR4341247	PRJEB39079	2876_Y	S_Espong
ERR4341269	PRJEB39079	2876_Z	S_Espong
ERR4341196	PRJEB39079	3536_AE	S_Cova
ERR4341204	PRJEB39079	3536_W	S_Espong
ERR4341369	PRJEB39079	3536_X	S_Espong
ERR4341202	PRJEB39079	3541_AB	S_Espong
ERR4341195	PRJEB39079	3541_AF	S_Cova
ERR4341206	PRJEB39079	3541_F	S_Pico
ERR4339446	PRJEB39079	3541_H	S_Pico
ERR4341208	PRJEB39079	3541_L	S_Espong
ERR4339448	PRJEB39079	3541_N	S_Pico
ERR4341207	PRJEB39079	3541_T	S_Espong
ERR4341182	PRJEB39079	3541_Y	S_Cova
ERR4339445	PRJEB39079	3619_P	S_Pico
ERR4340963	PRJEB39079	3968_A	S_Fig
ERR4341226	PRJEB39079	3968_AA	S_Pico
ERR4341222	PRJEB39079	3968_AB	S_Pico
ERR4341224	PRJEB39079	3968_AC	S_Pico
ERR4341225	PRJEB39079	3968_AD	S_Pico
ERR4341233	PRJEB39079	3968_AE	S_Pico
ERR4341235	PRJEB39079	3968_AF	S_Pico
ERR4341227	PRJEB39079	3968_AG	S_Pico
ERR4341230	PRJEB39079	3968_AH	S_Pico
ERR4341228	PRJEB39079	3968_AI	S_Pico
ERR4341229	PRJEB39079	3968_AJ	S_Pico
ERR4341231	PRJEB39079	3968_AK	S_Pico
ERR4341232	PRJEB39079	3968_AL	S_Pico
ERR4341199	PRJEB39079	3968_AM	S_Espong
ERR4341201	PRJEB39079	3968_AN	S_Espong
ERR4341203	PRJEB39079	3968_AO	S_Espong
ERR4341205	PRJEB39079	3968_AP	S_Espong
ERR4341209	PRJEB39079	3968_AQ	S_Espong
ERR4341211	PRJEB39079	3968_AR	S_Espong
ERR4340961	PRJEB39079	3968_B	S_Fig
ERR4340964	PRJEB39079	3968_C	S_Fig
ERR4341365	PRJEB39079	3968_E	S_Fig
ERR4341361	PRJEB39079	3968_F	S_Fig
