long	lat	pop	Anc	Der	radius	gene	totalind	anctotal	dertotal
-25.06094	17.11265	Cratera	0	1	0.0005	CRY2	1	0	1
-25.040916	17.103658	S1	1	0	0.004	CRY2	8	8	0
-25.028522	17.106326	S10	0.090909091	0.909090909	0.0055	CRY2	11	1	10
-25.076404	17.114951	S11	0	1	0.012	CRY2	24	0	24
-25.085457	17.1104	S15	0	1	0.0115	CRY2	23	0	23
-25.081029	17.10832	S16	0	1	0.006	CRY2	12	0	12
-25.079073	17.10684	S17	0	1	0.001	CRY2	2	0	2
-25.080796	17.115385	S18	0	1	0.0025	CRY2	5	0	5
-25.08158	17.11566	S19	0	1	0.002	CRY2	4	0	4
-25.061835	17.103641	S20	0	1	0.008	CRY2	16	0	16
-25.02426	17.10608	S21	1	0	0.0005	CRY2	1	1	0
-25.077707	17.105516	S23	0	1	0.0015	CRY2	3	0	3
-25.076925	17.105766	S24	0	1	0.002	CRY2	4	0	4
-25.082728	17.107313	S25	0	1	0.0015	CRY2	3	0	3
-25.064251	17.117924	S3	0	1	0.0045	CRY2	9	0	9
-25.076491	17.113315	S4	0	1	0.003	CRY2	6	0	6
-25.08812	17.105902	S5	0	1	0.0035	CRY2	7	0	7
-25.09004	17.10326	S7	0	1	0.0085	CRY2	17	0	17
-25.03204	17.10203	S8	1	0	0.0045	CRY2	9	9	0
-25.0308	17.10633	S9	0	1	0.0005	CRY2	1	0	1
-25.028921	17.098903	S27	0	1	0.002	CRY2	4	0	4
-25.025188	17.102631	S28	0	1	0.0035	CRY2	7	0	7
-25.020324	17.095911	S29	0	1	0.0035	CRY2	7	0	7
-25.06094	17.11265	Cratera	0	1	0.0005	FRI	1	0	1
-25.040916	17.103658	S1	0	1	0.004	FRI	8	0	8
-25.028522	17.106326	S10	0.727272727	0.272727273	0.0055	FRI	11	8	3
-25.076404	17.114951	S11	0.083333333	0.916666667	0.012	FRI	24	2	22
-25.085457	17.1104	S15	0	1	0.0115	FRI	23	0	23
-25.081029	17.10832	S16	0	1	0.006	FRI	12	0	12
-25.079073	17.10684	S17	0	1	0.001	FRI	2	0	2
-25.080796	17.115385	S18	0	1	0.0025	FRI	5	0	5
-25.08158	17.11566	S19	0	1	0.002	FRI	4	0	4
-25.061835	17.103641	S20	1	0	0.008	FRI	16	16	0
-25.02426	17.10608	S21	0	1	0.0005	FRI	1	0	1
-25.077707	17.105516	S23	0	1	0.0015	FRI	3	0	3
-25.076925	17.105766	S24	0	1	0.002	FRI	4	0	4
-25.082728	17.107313	S25	0	1	0.0015	FRI	3	0	3
-25.064251	17.117924	S3	0.111111111	0.888888889	0.0045	FRI	9	1	8
-25.076491	17.113315	S4	0.666666667	0.333333333	0.003	FRI	6	4	2
-25.08812	17.105902	S5	0.857142857	0.142857143	0.0035	FRI	7	6	1
-25.09004	17.10326	S7	0	1	0.0085	FRI	17	0	17
-25.03204	17.10203	S8	0	1	0.0045	FRI	9	0	9
-25.0308	17.10633	S9	0	1	0.0005	FRI	1	0	1
-25.028921	17.098903	S27	0.5	0.5	0.002	FRI	4	2	2
-25.025188	17.102631	S28	1	0	0.0035	FRI	7	7	0
-25.020324	17.095911	S29	0.142857143	0.857142857	0.0035	FRI	7	1	6
