population	long	lat
S1	-25.040916	17.103658
S3	-25.064251	17.117924
S4	-25.07576	17.113576
S5	-25.08812	17.105902
S7	-25.09004	17.10326
S8	-25.03204	17.10203
S9	-25.028522	17.106326
S10	-25.027166	17.106096
S11	-25.076404	17.114951
S15	-25.085457	17.1104
S16	-25.081029	17.10832
S17	-25.07904	17.10679
S18	-25.080921	17.115413
S19	-25.088226	17.105812
S20	-25.060743	17.104142
S21	-25.07786	17.114349
S23	-25.077707	17.105516
S24	-25.076925	17.105766
S25	-25.082728	17.107313
S26	-25.030709	17.09996
S27	-25.028921	17.098903
S28	-25.025188	17.102631
S29	-25.020324	17.095911
S30	-25.031921	17.100619
S31	-25.028258	17.098658
SCratera	-25.06094	17.11265
