Region,Longitude,Latitude,N,Group
S1,-25.040916,17.103658,7,Figueira
S3,-25.064251,17.117924,8,Espongeiro
S4,-25.07576,17.113576,7,Espongeiro
S5,-25.08812,17.105902,7,Espongeiro
S7,-25.09004,17.10326,18,Espongeiro
S8,-25.042023,17.103908,9,Figueira
S9,-25.028522,17.106326,1,Pico
S10,-25.027166,17.106096,11,Pico
S11,-25.076404,17.114951,25,Espongeiro
S15,-25.085457,17.1104,21,Espongeiro
S16,-25.081029,17.10832,12,Espongeiro
S17,-25.07904,17.10679,2,Espongeiro
S18,-25.080921,17.115413,5,Espongeiro
S19,-25.088226,17.105812,4,Espongeiro
S20,-25.060743,17.104142,12,Cova
S21,-25.07786,17.114349,4,Espongeiro
S23,-25.077707,17.105516,3,Espongeiro
S24,-25.076925,17.105766,4,Espongeiro
S25,-25.082728,17.107313,3,Espongeiro
S26,-25.030709,17.09996,5,Pico
S27,-25.028921,17.098903,4,Pico
S28,-25.025188,17.102631,7,Pico
S29,-25.020324,17.095911,8,Pico
SCratera,-25.06094,17.11265,1,Espongeiro
