name	seq_ID	library	location	sample	Latitude	Longitude	country_code
Agl-9	35605	3427_A	MAR	3427_A_Agl-9	32.97243	-5.44856	MAR
Ait-9	22003	4050_A	MAR	4050_A_Ait-9	31.2366	-7.81285	MAR
Arb-0	18513	4050_B	MAR	4050_B_Arb-0	31.41988	-7.5262	MAR
Arb-2	35604	4050_C	MAR	4050_C_Arb-2	31.41988	-7.5262	MAR
Azr-5	35611	3427_B	MAR	3427_B_Azr-5	33.42357	-5.17911	MAR
Bab-0	22008	4050_D	MAR	4050_D_Bab-0	35.04256	-5.02369	MAR
Bba-0	22001	4050_E	MAR	4050_E_Bba-0	35.04256	-5.02369	MAR
Bbe-0	22007	4050_F	MAR	4050_F_Bbe-0	34.99519	-4.83141	MAR
Cvi-0	4073_M	4220_Y	CPV-SA	4220_Y_Cvi-0	17.117924	-25.064251	CPV-SA
Elh-2	35616	4050_G	MAR	4050_G_Elh-2	31.47197	-7.40644	MAR
Elk-28	35621	4050_H	MAR	4050_H_Elk-28	32.53516	-6.014969	MAR
F10-1-3	21228	3427_D	CPV-FO	3427_D_F10-1-3	14.923797	-24.335504	CPV-FO
F10-18-4	3968_BH	4220_A	CPV-FO	4220_A_F10-18-4	14.923632	-24.336299	CPV-FO
F11-10	22610	4220_B	CPV-FO	4220_B_F11-10	15.0055	-24.3968	CPV-FO
F12-201	3968_BL	4220_C	CPV-FO	4220_C_F12-201	15.007374	-24.3912	CPV-FO
F13-8	21226	4220_D	CPV-FO	4220_D_F13-8	15.006603	-24.389709	CPV-FO
F3-2	2876_AH	4220_E	CPV-FO	4220_E_F3-2	14.999722	-24.346445	CPV-FO
F5-1	13181	4220_F	CPV-FO	4220_F_F5-1	14.998298	-24.344921	CPV-FO
F7-7B	13574	4220_G	CPV-FO	4220_G_F7-7B	14.995723	-24.344426	CPV-FO
F8-5	12915	4220_H	CPV-FO	4220_H_F8-5	15.00243333	-24.34436667	CPV-FO
Ifr-6	35618	4050_I	MAR	4050_I_Ifr-6	33.55006	-5.17465	MAR
Ket-12	37471	4220_I	MAR	4220_I_Ket-12	34.96076	-4.66611	MAR
Khe-0	22004	3599_D	MAR	3599_D_Khe-0	32.92735	-5.51027	MAR
Oua-0	35513	4050_K	MAR	4050_K_Oua-0	32.07853	-6.275309	MAR
S10-100	22628	3542_Y	CPV-SA	3542_Y_S10-100	17.106096	-25.027166	CPV-SA
S10-102	22637	3599_Y	CPV-SA	3599_Y_S10-102	17.106096	-25.027166	CPV-SA
S10-12	27158	3542_Z	CPV-SA	3542_Z_S10-12	17.106096	-25.027166	CPV-SA
S10-16	15673	3599_Z	CPV-SA	3599_Z_S10-16	17.106096	-25.027166	CPV-SA
S10-29	15671	3542_AA	CPV-SA	3542_AA_S10-29	17.106096	-25.027166	CPV-SA
S1-1	2876_AL	3599_AA	CPV-SA	3599_AA_S1-1	17.103658	-25.040916	CPV-SA
S1-100	22615	3542_AB	CPV-SA	3542_AB_S1-100	17.103658	-25.040916	CPV-SA
S11-100	2876_AN	3599_AB	CPV-SA	3599_AB_S11-100	17.114951	-25.076404	CPV-SA
S11-101	22620	3542_AC	CPV-SA	3542_AC_S11-101	17.114951	-25.076404	CPV-SA
S11-102	22642	4050_P	CPV-SA	4050_P_S11-102	17.114951	-25.076404	CPV-SA
S11-14	15674	3599_AC	CPV-SA	3599_AC_S11-14	17.114951	-25.076404	CPV-SA
S11-19	35517	3542_AD	CPV-SA	3542_AD_S11-19	17.114951	-25.076404	CPV-SA
S11-20	16293	3599_AD	CPV-SA	3599_AD_S11-20	17.114951	-25.076404	CPV-SA
S11-35	27174	3599_F	CPV-SA	3599_F_S11-35	17.114951	-25.076404	CPV-SA
S11-36	27181	3542_AE	CPV-SA	3542_AE_S11-36	17.114951	-25.076404	CPV-SA
S11-45	27175	3599_G	CPV-SA	3599_G_S11-45	17.114951	-25.076404	CPV-SA
S11-48	27170	3599_AF	CPV-SA	3599_AF_S11-48	17.114951	-25.076404	CPV-SA
S11-54	27160	3599_H	CPV-SA	3599_H_S11-54	17.114951	-25.076404	CPV-SA
S11-57	35516	3542_AG	CPV-SA	3542_AG_S11-57	17.114951	-25.076404	CPV-SA
S11-61	27161	4050_Q	CPV-SA	4050_Q_S11-61	17.114951	-25.076404	CPV-SA
S11-63	15675	3599_AG	CPV-SA	3599_AG_S11-63	17.114951	-25.076404	CPV-SA
S11-9	27180	3599_I	CPV-SA	3599_I_S11-9	17.114951	-25.076404	CPV-SA
S1-3	13583	3542_AH	CPV-SA	3542_AH_S1-3	17.103658	-25.040916	CPV-SA
S1-5	13582	3427_F	CPV-SA	3427_F_S1-5	17.103658	-25.040916	CPV-SA
S1-501	3968_A	4220_J	CPV-SA	4220_J_S1-501	17.103658	-25.040916	CPV-SA
S15-1	22631	3599_AH	CPV-SA	3599_AH_S15-1	17.1104	-25.085457	CPV-SA
S15-13	22616	3599_J	CPV-SA	3599_J_S15-13	17.1104	-25.085457	CPV-SA
S15-3	20682	3542_AI	CPV-SA	3542_AI_S15-3	17.1104	-25.085457	CPV-SA
S15-6	22622	3599_AI	CPV-SA	3599_AI_S15-6	17.1104	-25.085457	CPV-SA
S15-7	22634	3599_K	CPV-SA	3599_K_S15-7	17.1104	-25.085457	CPV-SA
S15-T1-15-11	2876_C	4050_R	CPV-SA	4050_R_S15-T1-15-11	17.1104	-25.085457	CPV-SA
S15-T1-15-4	2876_M	3542_AJ	CPV-SA	3542_AJ_S15-T1-15-4	17.1104	-25.085457	CPV-SA
S15-T2-15-1	2876_R	3599_AJ	CPV-SA	3599_AJ_S15-T2-15-1	17.1104	-25.085457	CPV-SA
S15-T2-15-21	2876_F	3599_L	CPV-SA	3599_L_S15-T2-15-21	17.1104	-25.085457	CPV-SA
