geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	start	end	family	superfamily
AT1TE38210	0.46044383637225	1.37796398909703	0.461186649753854	2.98786617052441	0.0028093254073019	0.0291077326923225	Chr1	11789450	11794079	ATCOPIA31	LTR_Copia
AT1TE41580	1.9029675010396	2.51275964155944	0.311065467634538	8.07791253933597	6.58848306740411e-16	8.64615638972005e-14	Chr1	12755060	12760395	ATCOPIA93	LTR_Copia
AT1TE44670	1.52792793491849	-1.11583670079121	0.304057418430203	-3.66982232024493	0.000242719118101994	0.003482085809694	Chr1	13644552	13648938	ATHILA6B	LTR_Gypsy
AT1TE46690	3.45575364802271	-1.00018584403533	0.216639872694274	-4.61681329293806	3.89677559928128e-06	9.08435811582449e-05	Chr1	14230071	14242310	ATHILA7	LTR_Gypsy
AT1TE48745	3.38170997563345	-1.11079925460844	0.205831970319157	-5.39663130506921	6.79037228589675e-08	2.44911573255313e-06	Chr1	14847805	14857361	ATHILA	LTR_Gypsy
AT1TE48765	3.38170997563345	-1.11079925460844	0.205831970319157	-5.39663130506921	6.79037228589675e-08	2.44911573255313e-06	Chr1	14865439	14874995	ATHILA	LTR_Gypsy
AT1TE70490	1.65901441656059	3.77052883797222	0.432984713036482	8.70822623627945	3.08666773370518e-18	1.15132706467203e-15	Chr1	21346162	21351041	ATCOPIA22	LTR_Copia
AT1TE74860	12.4746717602198	-0.651760540830687	0.200026862683582	-3.25836506200516	0.0011205615324131	0.0130615453621902	Chr1	22693955	22699336	HARBINGER	DNA_Harbinger
AT2TE10980	1.63982185186908	-1.03252318309617	0.278938138793133	-3.70162068035421	0.000214226721437528	0.00319626268384792	Chr2	2399531	2410158	ATHILA	LTR_Gypsy
AT2TE15490	0.638136422634004	-1.371138030788	0.40812538304862	-3.35959998504836	0.000780554007857475	0.00970488816436128	Chr2	3547954	3552491	ATHILA	LTR_Gypsy
AT2TE16475	0.95128109646866	-1.40067896959864	0.387085907965418	-3.61852224732443	0.000296290032945383	0.00409319193661584	Chr2	3827839	3832085	ATHILA2	LTR_Gypsy
AT2TE16800	5.10460651886395	-0.818152062499396	0.164557492056932	-4.97183113495884	6.6323463322841e-07	1.76704655852998e-05	Chr2	3942751	3962834	ATLANTYS3	LTR_Gypsy
AT2TE16825	4.92881101250795	-0.841843045081177	0.169150547868842	-4.97688630446491	6.46152492162419e-07	1.76704655852998e-05	Chr2	3949278	3956452	ATHILA	LTR_Gypsy
AT2TE22235	0.619355403443044	2.10810077014154	0.461944620649719	4.56353570515991	5.0299250746204e-06	0.000104002104011588	Chr2	5483744	5490467	ATHILA7A	LTR_Gypsy
AT2TE73320	36.1586643730173	0.597248528537305	0.202114152637994	2.95500597430718	0.00312662996285577	0.0315198101660866	Chr2	16340933	16348707	ATREP3	RC_Helitron
AT3TE50630	3.5531273000627	-0.965951113219317	0.212173851525682	-4.55263976344603	5.29769430622029e-06	0.000104002104011588	Chr3	12202074	12209594	ATHILA	LTR_Gypsy
AT3TE53690	3.47463697127806	-1.04391929653522	0.212636087243929	-4.90941735274534	9.13473869861669e-07	2.27150502305602e-05	Chr3	13116260	13124322	ATHILA	LTR_Gypsy
