chrom	start	end	name	score
Chr1	7200	7500	DMR1	-39.0388942462231
Chr1	25700	26000	DMR2	-25.9556666400773
Chr1	26700	27400	DMR3	-32.923745175551
Chr1	28800	29200	DMR4	-33.551250520985
Chr1	29900	30700	DMR5	-26.4142254339516
Chr1	31500	32000	DMR6	-32.9019310948075
Chr1	35900	36200	DMR7	-28.6169161512279
Chr1	92600	93100	DMR8	-35.2108757377136
Chr1	93200	93600	DMR9	-30.2913792014034
Chr1	94100	94400	DMR10	-30.9596493287934
Chr1	94700	95500	DMR11	-30.8799078407974
Chr1	110600	111100	DMR12	-30.8091023983913
Chr1	121700	122200	DMR13	-28.9768549055403
Chr1	122400	122700	DMR14	-31.3836206896552
Chr1	124100	124400	DMR15	-27.8481277289642
Chr1	124500	125000	DMR16	-31.230774665518
Chr1	125100	126400	DMR17	-33.7659626535622
Chr1	127200	127500	DMR18	-35.5423270828044
Chr1	160700	161000	DMR19	-33.9427754473219
Chr1	213400	214000	DMR20	49.3067812655383
Chr1	233500	234400	DMR21	-29.6182926969109
Chr1	235000	235300	DMR22	-29.2533443337851
Chr1	235900	236200	DMR23	-28.8269104131474
Chr1	241600	242000	DMR24	-30.4797166849642
Chr1	243800	244100	DMR25	-28.6048785029327
Chr1	265200	265700	DMR26	-33.2535215967946
Chr1	275800	276300	DMR27	-32.0785054215207
Chr1	277300	277700	DMR28	-29.7128917684742
Chr1	280000	280300	DMR29	-26.6878235791473
Chr1	281600	281900	DMR30	-27.5750300120048
Chr1	286800	287100	DMR31	-30.7352056545605
Chr1	288800	289400	DMR32	-39.34054893747
Chr1	296900	297200	DMR33	-28.9758094186902
Chr1	307700	308300	DMR34	-39.2410286138032
Chr1	314500	315000	DMR35	-31.0211958297252
Chr1	317000	318100	DMR36	-31.7759489037235
Chr1	320200	320600	DMR37	-25.5419500854892
Chr1	326200	326600	DMR38	-31.9220468229089
Chr1	326700	327200	DMR39	-38.4994491904401
Chr1	332900	333400	DMR40	-31.8649226626448
Chr1	334000	334300	DMR41	-39.6306818181818
Chr1	335600	335900	DMR42	-31.6370778491991
Chr1	350000	350400	DMR43	-25.2546684431082
Chr1	375600	375900	DMR44	-25.7111935683364
Chr1	376100	376900	DMR45	-31.6000390020623
Chr1	377000	377500	DMR46	-29.7359012319977
Chr1	377600	378500	DMR47	-40.3149730925282
Chr1	378900	379200	DMR48	-25.0545297484073
Chr1	379700	380300	DMR49	-38.4844143027934
Chr1	380600	381700	DMR50	-39.2473888717108
Chr1	382600	382900	DMR51	-33.525093411025
Chr1	390900	391200	DMR52	-26.3839049006448
Chr1	391800	392300	DMR53	-36.7254442435526
Chr1	396600	396900	DMR54	-29.5404025160848
Chr1	406100	406600	DMR55	-38.9261947293261
Chr1	407000	407500	DMR56	-30.7891344602343
Chr1	444800	445300	DMR57	-27.1614817837483
Chr1	448700	449500	DMR58	-35.6353531669672
Chr1	494100	495000	DMR59	-29.9276162639356
Chr1	525900	526500	DMR60	-33.7098700627501
Chr1	531800	532100	DMR61	-32.4061365447622
