geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	start	end	family	superfamily
AT1TE31775	205.015883623806	-0.191343669118335	0.0662621132777437	-2.8876783376392	0.00388096530195836	0.0413823459249835	Chr1	9865643	9873666	ATREP3	RC_Helitron
AT1TE41580	1.9029675010396	-1.30396262417853	0.390160336064351	-3.34211990212009	0.000831411379199589	0.0184829145068216	Chr1	12755060	12760395	ATCOPIA93	LTR_Copia
AT1TE44125	4.39906330564998	-0.874508621346955	0.298443327587407	-2.93023344973539	0.00338707439511796	0.0399978834627457	Chr1	13482748	13490426	VANDAL6	DNA_MuDR
AT1TE48745	3.38170997563345	0.622625747689288	0.184204354015007	3.38008160023494	0.000724643121664297	0.0184829145068216	Chr1	14847805	14857361	ATHILA	LTR_Gypsy
AT1TE48765	3.38170997563345	0.622625747689288	0.184204354015007	3.38008160023494	0.000724643121664297	0.0184829145068216	Chr1	14865439	14874995	ATHILA	LTR_Gypsy
AT2TE08135	2.66798538245156	-0.853313557534953	0.278463774435737	-3.06436109782702	0.00218135443505162	0.0349561218938808	Chr2	1758540	1766569	VANDAL6	DNA_MuDR
AT2TE10980	1.63982185186908	0.672965762840101	0.238471009131111	2.82200241149693	0.00477248183980574	0.0475602500587538	Chr2	2399531	2410158	ATHILA	LTR_Gypsy
AT2TE16235	11.7890191101176	0.400110532793847	0.106425488682414	3.75953672139408	0.000170228291153924	0.00752032326789591	Chr2	3752536	3763203	ATLANTYS3	LTR_Gypsy
AT2TE16825	4.92881101250795	0.477700742755853	0.158256221565746	3.01852741098963	0.00254006422066262	0.0349561218938808	Chr2	3949278	3956452	ATHILA	LTR_Gypsy
AT2TE22235	0.619355403443044	-1.61590791889726	0.521331695146071	-3.09957735917918	0.00193796961828237	0.0349561218938808	Chr2	5483744	5490467	ATHILA7A	LTR_Gypsy
AT2TE22635	1.65462078536538	-3.65678337630155	1.19880855070488	-3.05034809282219	0.00228576276787144	0.0349561218938808	Chr2	5600343	5605594	TA11	LINE_L1
AT2TE28325	1.58953119770765	-3.10477174545144	0.670572634216056	-4.63003049487864	3.65611884327326e-06	0.000363564998187585	Chr2	6953995	6958817	ATCOPIA38B	LTR_Copia
AT3TE13060	21.1651315888265	0.878743939242613	0.190062236356103	4.62345364386951	3.77403112305451e-06	0.000363564998187585	Chr3	3111278	3115854	ATLANTYS3	LTR_Gypsy
AT3TE34225	159.285109916423	-0.198388170590281	0.0452311351229541	-4.38609754212431	1.15402386392125e-05	0.000833782241683103	Chr3	8157843	8172569	ATREP10D	RC_Helitron
AT3TE50630	3.5531273000627	0.548779215568803	0.195915551880222	2.80110083299724	0.00509286031439398	0.049061221028662	Chr3	12202074	12209594	ATHILA	LTR_Gypsy
AT3TE53690	3.47463697127806	0.738622560231307	0.19200116652082	3.84696912844649	0.00011958803110918	0.00691218819811059	Chr3	13116260	13124322	ATHILA	LTR_Gypsy
AT3TE53970	4.77101146474686	0.51644903664148	0.1770916514956	2.91628110235513	0.00354231191670613	0.0399978834627457	Chr3	13186250	13194551	ATHILA	LTR_Gypsy
AT3TE58655	49.3076666164724	-0.941218452825905	0.327104517083047	-2.87742419829361	0.0040093622349465	0.0413823459249835	Chr3	14272908	14285452	HELITRON5	RC_Helitron
AT3TE94220	20.5933121019801	0.472033335250355	0.126264142780479	3.73845911321812	0.000185151596853766	0.00752032326789591	Chr3	23109446	23115857	ATLANTYS3	LTR_Gypsy
AT4TE10700	12.5399653283155	-0.340466631264921	0.111081764555129	-3.06500920856322	0.00217663295263753	0.0349561218938808	Chr4	2302657	2307845	ATCOPIA10	LTR_Copia
AT4TE18075	1.39055203842992	0.8099259871883	0.276876118139816	2.92522877245522	0.00344203078887209	0.0399978834627457	Chr4	4187541	4191690	ATHILA	LTR_Gypsy
AT4TE18245	5.24962913158977	0.564950184938935	0.168048543652312	3.36182731882402	0.000774285281614402	0.0184829145068216	Chr4	4239123	4249806	ATHILA	LTR_Gypsy
AT4TE51005	17.6355536387441	0.422194551639369	0.119947331652432	3.51983279513671	0.000431818928075175	0.0138661855793028	Chr4	11116678	11120807	ATLANTYS3	LTR_Gypsy
AT5TE20395	1.88349482150893	-1.28372062773659	0.390245105341146	-3.28952396882565	0.001003570086384	0.0207165539260697	Chr5	5629978	5635310	ATCOPIA93	LTR_Copia
AT5TE33315	0.81571693435483	-1.89839096719744	0.511849693032642	-3.7088836684647	0.000208175038557672	0.00752032326789591	Chr5	9211109	9218667	ATHILA7A	LTR_Gypsy
AT5TE36920	7.46691711387954	-2.55792513499232	0.467979515686988	-5.4658912393576	4.60586692598953e-08	1.33109554161098e-05	Chr5	10128750	10133862	ATCOPIA12	LTR_Copia
AT5TE42265	4.66140270565498	0.557805481128186	0.184080212294984	3.03023054012083	0.00244367131777656	0.0349561218938808	Chr5	11742799	11753141	ATHILA	LTR_Gypsy
AT5TE44235	3.2914632423547	-0.828626294604634	0.284616878982735	-2.91137439763332	0.00359842550183872	0.0399978834627457	Chr5	12476731	12482338	VANDAL6	DNA_MuDR
AT5TE53465	4.5938194888297	-0.875706652598736	0.293329944347354	-2.9853980797874	0.00283209497926865	0.0372034295003927	Chr5	14826317	14834273	VANDAL6	DNA_MuDR
AT5TE64600	4.218562592863	-0.894755137427872	0.2956732631918	-3.02616181040168	0.002476797181752	0.0349561218938808	Chr5	17893551	17901550	VANDAL6	DNA_MuDR
